TITLE,accented lemma,SEARCH LEMMA,DISPLAY LEMMA,English Definition,Decl,Idiom,Reg Adject/Adv/Form,Proper,Part Of Speech,DCC SEMANTIC GROUP,DCC Core Frequency,Herodotus 1 frequency rank,DCC Greek Core,Herodotus Book 1 Core (412 words > 10 times),Homer Core (Frequency Categories 1-4),National Collegiate Greek Exam Core,Fundamental 400 (BiCo Elementary Core),Fine 555 (BiCo Third Semester Core),Splendid 655 (BiCo Fourth Semester Core),Alpha to Omega (Groton),Greek: an Intensive Course (Hansen-Quinn),Introduction to Ancient Greek (Luschnig),Introduction to Attic Greek (Mastronarde 2013),Learn to Read Greek (Keller-Russell)
ΑΝΑΓΚΑΖΩ,ἀναγκάζω,Αναγκαζω,ἀναγκάζω ἀναγκάσω ἠνάγκασα ἠνάγκακα ἠνάγκασμαι ἠναγκάσθην,"force, compel, constrain",,,,,Verb,Government and Society,,,,,,,,,,,,,,
ΑΝΑΓΚΑΙΟΝ,ἀναγκαῖον,Αναγκαιον,ἀνακαῖον –ου τό,"place of constraint, prison",2,,,,Noun,Government and Society,,,,,,,,,,,,,,
ΑΝΑΓΚΑΙΟΣ,ἀναγκαῖος,Αναγκαιος,ἀναγκαῖος –α –ον,"constraining, necessary",1,,,,Adjective,Government and Society,,,,,,,,,,43,,,,13
,ἀνάγκη-ἐστί(ν),αναγκη-εστι(ν),ἀνάγκη ἐστί(ν),it is necessary,,1,,,Idiom,,,,,,,,,,,,,,,
ΑΝΑΓΟΜΑΙ,ἀνάγομαι,Αναγομαι,ἀνάγομαι,put out to sea,,,,,Verb,,,,,,,,,,,,,,,
ΑΝΑΓΩ,ἀνάγω,Αναγω,ἀνάγω ἀνάξω ἀνήγαγον ἀνῆχα ἀνῆγμαι ἀνήχθην,"to lead up, to raise",,,,,Verb,Locomotion,,,,,,,,,,,,,,
ΑΝΑΘΗΜΑ,ἀνάθημα,Αναθημα,ἀνάθημα –ατος τό,"dedicated thing, votive gift, offering",3,,,,Noun,Religion,,238,,1,,,,1,1,,,,,
ΑΝΑΙΡΕΟΜΑΙ,ἀναιρέομαι,Αναιρεομαι,ἀναιρέομαι,take up; pick up,,,,,Verb,,,,,,,,,,,,,,,
ΑΝΑΙΤΙΟΣ,ἀναίτιος,αναιτιος,ἀναίτιος –ον,"guiltless, without blame",1,,,,Adjective,,,,,,,,,,,,,,32,
ΑΝΑΚΡΑΖΩ,ἀνακράζω,Ανακραζω,ἀνακράζω ἀνέκραγον,shout,,,,,Verb,,,,,,,,,,,,,,,
ΑΝΑΛΑΜΒΑΝΩ,ἀναλαμβάνω,Αναλαμβανω,ἀναλαμβάνω ἀναλήψομαι ἀνέλαβον ἀνείληφα ἀνείλημμαι ἀνελήφθην,"to take up, undertake, repair",,,,,Verb,,,,,,,,,,,,,,,
ΑΝΑΜΙΜΝῄΣΚΩ,ἀναμιμνῄσκω,Αναμιμνῄσκω,ἀναμιμνῄσκω ἀναμνήσω ἀνέμνησα μέμνημαι μνησθήσομαι ἐμνήσθην,remind someone (acc.) of something (acc. or gen.),,,,,Verb,,,,,,,,,,,,,,30,
